Table_Number,Year,Measure,Age,Sex,Indigenous_Status,CS_Type,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
8A.5,2017-18,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Age-standardised imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),1671.4,1411.8,1622.8,3258.9,2138.4,572.5,1556.2,2277.2,1885.1
8A.5,2016-17,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,3141,573,2605,2457,699,109,92,1377,11052
8A.5,2016-17,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Crude imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,1984.7,1643.9,1943.4,3992.1,2760.3,632.3,1919.6,2833.1,2279.7
8A.5,2016-17,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Age-standardised imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),1632.7,1314.7,1577.5,3150.9,2199.2,541.8,1442.8,2234.2,1838.4
8A.5,2015-16,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,2987,503,2444,2220,652,88,92,1396,10382
8A.5,2015-16,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Crude imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,1941.7,1483.3,1878.3,3692.9,2643.6,525.5,1995.9,2926.3,2200.1
8A.5,2015-16,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Age-standardised imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),1597.7,1186.3,1521.9,2894.2,2103,451,1494.3,2283.8,1769.7
8A.5,2014-15,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,2615,508,2284,2124,606,74,68,1365,9644
8A.5,2014-15,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Crude imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,1752.7,1530.3,1807.1,3603.3,2524.4,454.3,1504.4,2918.6,2098.8
8A.5,2014-15,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Age-standardised imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),1444.1,1220.5,1463.6,2809.8,2008.7,392.2,1123.1,2256.7,1685.7
8A.5,2013-14,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,2478,450,2108,2018,547,71,59,1296,9027
8A.5,2013-14,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Crude imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,1712.1,1382.8,1716.9,3497,2343.1,448.8,1341.3,2831.2,2018.1
8A.5,2013-14,Prisoner population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Age-standardised imprisonment rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),1412.9,1100.4,1390.4,2717.1,1865.7,389.2,1000.1,2176.1,1619.5
8A.6,2022-23,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Community corrections population,Daily average,Aboriginal and Torres Strait Islander,,,Derived from State and territory governments (unpublished),no.,8169,845,5310,1972,1385,392,134,1028,19234
8A.6,2022-23,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Community corrections population,Daily average,Aboriginal and Torres Strait Islander,,,Derived from State and territory governments (unpublished),%,23.7,8.1,28.1,33.2,21.4,20.1,17.6,78.7,24
8A.6,2021-22,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Community corrections population,Daily average,Aboriginal and Torres Strait Islander,,,Derived from State and territory governments (unpublished),no.,7929,755,5393,1701,1393,414,160,943,18688
8A.6,2021-22,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Community corrections population,Daily average,Aboriginal and Torres Strait Islander,,,Derived from State and territory governments (unpublished),%,22.8,8.2,27.6,29.5,21.1,19.9,17.2,77.7,23.3
8A.7,2022-23,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Total community corrections daily average population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,8169,845,5310,1972,1385,392,134,1028,19234
8A.7,2022-23,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Crude community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,4458.1,2002.9,3432.8,2759.3,4714.8,1981.7,2265.9,1905.4,3429.9
8A.7,2022-23,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Age-standardised community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),3642.3,1587.3,2757.3,2196.6,3762.4,1683.2,1742.1,1522.5,2766.1
8A.7,2021-22,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Total community corrections daily average population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,7929,755,5393,1701,1393,414,160,943,18688
8A.7,2021-22,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Crude community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,4428.1,1844,3586.5,2435.9,4855.3,2138,2789.3,1773.9,3414.1
8A.7,2021-22,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Age-standardised community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),3614,1460.1,2873.3,1932.9,3866.1,1811.2,2134.9,1409.4,2746.9
8A.7,2020-21,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Total community corrections daily average population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,7773,685,4710,1732,1116,370,196,963,17545
8A.7,2020-21,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Crude community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,4444.4,1723.7,3223.4,2538.7,3983.8,1955.1,3539.7,1840.9,3285.7
8A.7,2020-21,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Age-standardised community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),3624.8,1364.3,2576.6,2007.4,3165.4,1655.5,2694.2,1452.8,2637.9
8A.7,2019-20,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Total community corrections daily average population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,7418,902,4849,1757,1136,353,205,961,17582
8A.7,2019-20,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Crude community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,4345,2343,3418.4,2640,4153.6,1905.7,3823.4,1869.6,3378
8A.7,2019-20,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Age-standardised community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),3540.6,1854.2,2725.7,2080.7,3295.8,1612.6,2896.9,1466.6,2706.1
8A.7,2018-19,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Total community corrections daily average population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,5638,918,4918,1868,1129,332,176,997,15975
8A.7,2018-19,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Crude community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,3386.7,2461.9,3573.9,2878.9,4229.1,1834.4,3405.9,1976.4,3152
8A.7,2018-19,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Age-standardised community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),2756.7,1948.6,2839.6,2262.1,3353.5,1549.3,2575.3,1542.4,2519.2
8A.7,2017-18,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Total community corrections daily average population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,4504,1002,4671,1749,1109,323,177,1003,14538
8A.7,2017-18,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Crude community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,2774.8,2776.7,3377.2,2768.6,4262.5,1831.8,3553.9,2026.4,2918
8A.7,2017-18,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Age-standardised community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),2254.8,2199.5,2677.8,2165.5,3370.3,1543,2678.4,1571.5,2325
8A.7,2016-17,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Total community corrections daily average population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,4183,922,4579,1525,1076,287,169,953,13694
8A.7,2016-17,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Crude community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,2643.4,2643.5,3415.5,2478.9,4249.1,1668.7,3532.6,1960.7,2824.6
8A.7,2016-17,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Age-standardised community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),2142.1,2095.6,2695.2,1926.1,3344.8,1402.1,2649.3,1510,2241.3
8A.7,2015-16,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Total community corrections daily average population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,3738,847,4148,1414,1044,277,137,866,12470
8A.7,2015-16,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Crude community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,2430.1,2497.8,3187.7,2352.3,4233.1,1652,2961.8,1815.3,2642.6
8A.7,2015-16,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Age-standardised community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),na,na,na,na,na,na,na,na,na
8A.7,2014-15,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Total community corrections daily average population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,3453,673,3783,1354,919,260,130,904,11476
8A.7,2014-15,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Crude community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,2314.6,2027.9,2993,2297,3828.3,1593.8,2885.4,1932.9,2497.6
8A.7,2014-15,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Age-standardised community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),na,na,na,na,na,na,na,na,na
8A.7,2013-14,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Total community corrections daily average population,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),no.,3467,561,3675,1450,901,279,168,1034,11535
8A.7,2013-14,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Crude community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,2395.4,1725.9,2992.8,2512.3,3859.4,1759.7,3835.8,2258.9,2578.9
8A.7,2013-14,Community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Age-standardised community corrections rate per 100000 adults,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),na,na,na,na,na,na,na,na,na
8A.8,2022-23,Imprisonment and community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Imprisonment rate per 100000 adults,Crude,Aboriginal and Torres Strait Islander,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,1989.8,1895.8,2332,3732.6,2522.1,769.7,1901.5,3273.7,2405.9
8A.8,2022-23,Imprisonment and community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Imprisonment rate per 100000 adults,Age-standardised,Aboriginal and Torres Strait Islander,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),1635.6,1500.5,1885.9,3019.9,2031.4,665.2,1452.4,2694,1959.1
8A.8,2022-23,Imprisonment and community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Community corrections rate per 100000 adults,Crude,Aboriginal and Torres Strait Islander,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,4458.1,2002.9,3432.8,2759.3,4714.8,1981.7,2265.9,1905.4,3429.9
8A.8,2022-23,Imprisonment and community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Community corrections rate per 100000 adults,Age-standardised,Aboriginal and Torres Strait Islander,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),3642.3,1587.3,2757.3,2196.6,3762.4,1683.2,1742.1,1522.5,2766.1
8A.8,2021-22,Imprisonment and community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Imprisonment rate per 100000 adults,Crude,Aboriginal and Torres Strait Islander,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,1936.3,1745.5,2288.9,3671.8,2538.3,796.9,1770.3,3027.5,2335.1
8A.8,2021-22,Imprisonment and community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Imprisonment rate per 100000 adults,Age-standardised,Aboriginal and Torres Strait Islander,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),1590,1380.6,1847.5,2959.3,2038.4,686.7,1345.8,2474.7,1897.1
8A.8,2021-22,Imprisonment and community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Community corrections rate per 100000 adults,Crude,Aboriginal and Torres Strait Islander,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,4428.1,1844,3586.5,2435.9,4855.3,2138,2789.3,1773.9,3414.1
8A.8,2021-22,Imprisonment and community corrections population,Adults,All people,Aboriginal and Torres Strait Islander people,Community correction,,Community corrections rate per 100000 adults,Age-standardised,Aboriginal and Torres Strait Islander,,,Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate (AS),3614,1460.1,2873.3,1932.9,3866.1,1811.2,2134.9,1409.4,2746.9
8A.10,2022-23,Prisoner employment,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner employment,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),%,77,94.1,58.5,85.3,68.4,67,86.5,70.8,74.5
8A.10,2021-22,Prisoner employment,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner employment,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),%,81.8,90.6,57,78.2,68.9,56.2,78.9,58.1,70.7
8A.10,2020-21,Prisoner employment,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner employment,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),%,88,93.3,57.1,74.9,66.2,52.3,86.6,68.3,73.1
8A.10,2019-20,Prisoner employment,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner employment,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),%,81.7,93,60.4,76.1,73.3,51.3,75.7,68.4,73.7
8A.10,2018-19,Prisoner employment,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Prisoner employment,Aboriginal and Torres Strait Islander,,,,Derived from State and territory governments (unpublished),%,80.2,88.7,63.6,67.3,71.5,61.8,75.6,80.4,73.1
8A.17,2022-23,Deaths from apparent unnatural causes,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Deaths from apparent unnatural causes,Number,Aboriginal and Torres Strait Islander prisoners,,,State and territory governments (unpublished),no.,1,0,3,2,0,0,0,0,6
8A.17,2022-23,Deaths from apparent unnatural causes,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Deaths from apparent unnatural causes,Rate per 100 prisoners,Aboriginal and Torres Strait Islander prisoners,,,Derived from State and territory governments (unpublished),rate,0.03,0,0.08,0.07,0,0,0,0,0.04
8A.17,2021-22,Deaths from apparent unnatural causes,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Deaths from apparent unnatural causes,Number,Aboriginal and Torres Strait Islander prisoners,,,State and territory governments (unpublished),no.,2,0,0,1,1,0,0,1,5
8A.17,2021-22,Deaths from apparent unnatural causes,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Deaths from apparent unnatural causes,Rate per 100 prisoners,Aboriginal and Torres Strait Islander prisoners,,,Derived from State and territory governments (unpublished),rate,0.06,0,0,0.04,0.14,0,0,0.06,0.04
8A.17,2020-21,Deaths from apparent unnatural causes,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Deaths from apparent unnatural causes,Number,Aboriginal and Torres Strait Islander prisoners,,,State and territory governments (unpublished),no.,0,0,0,3,0,0,0,0,3
8A.17,2020-21,Deaths from apparent unnatural causes,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Deaths from apparent unnatural causes,Rate per 100 prisoners,Aboriginal and Torres Strait Islander prisoners,,,Derived from State and territory governments (unpublished),rate,0,0,0,0.11,0,0,0,0,0.02
8A.17,2019-20,Deaths from apparent unnatural causes,Adults,All people,Aboriginal and Torres Strait Islander people,Prison,,Deaths from apparent unnatural causes,Number,Aboriginal and Torres Strait Islander prisoners,,,State and territory governments (unpublished),no.,1,0,0,0,0,0,0,0,1
