Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Uncertainty,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
6A.2,2020,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Aboriginal and Torres Strait Islander,,,,,,Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,'000,147,33.7,124.1,58.9,23.9,15.7,4.9,45.9,454.2
6A.2,2020,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Proportion of total population,Aboriginal and Torres Strait Islander,,,,,Derived from ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,%,3.1,0.8,4.1,3.7,2.4,5.2,1.8,29.2,3
6A.2,2019-20,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Operational,,,,,State and territory governments (unpublished),no.,588,97,368,200,90,28,29,212,1611
6A.2,2019-20,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Non-operational,,,,,State and territory governments (unpublished),no.,57,5,7,27,5,6,2,4,113
6A.2,2019-20,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Total,,,,,Derived from State and territory governments (unpublished),no.,645,102,374,227,95,34,31,216,1724
6A.2,2019-20,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Proportion of total staff,,,,,Derived from State and territory governments (unpublished),%,3,0.5,2.4,2.5,1.6,1.9,3.1,11.4,2.2
6A.2,2019,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Aboriginal and Torres Strait Islander,,,,,,Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,'000,143.8,32.7,120.7,57.6,23.4,15.4,4.7,45.2,443.7
6A.2,2019,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Proportion of total population,Aboriginal and Torres Strait Islander,,,,,Derived from ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,%,3,0.8,4,3.7,2.3,5.1,1.8,28.8,2.9
6A.2,2018-19,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Operational,,,,,State and territory governments (unpublished),no.,404,89,363,155,88,21,19,188,1327
6A.2,2018-19,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Non-operational,,,,,State and territory governments (unpublished),no.,183,7,6,31,7,7,3,4,248
6A.2,2018-19,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Total,,,,,Derived from State and territory governments (unpublished),no.,587,96,369,186,95,28,22,192,1575
6A.2,2018-19,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Proportion of total staff,,,,,Derived from State and territory governments (unpublished),%,2.9,0.5,2.4,2.2,1.6,1.6,2.2,10.4,2.1
6A.2,2018,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Aboriginal and Torres Strait Islander,,,,,,Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,'000,140.6,31.7,117.6,56.3,22.8,15.1,4.5,44.5,433.3
6A.2,2018,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Proportion of total population,Aboriginal and Torres Strait Islander,,,,,Derived from ABS Australian Demographic Statistics - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,%,2.9,0.8,4,3.6,2.3,5,1.7,28.1,2.9
6A.2,2017-18,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Operational,,,,,State and territory governments (unpublished),no.,409,82,357,140,77,22,15,177,1279
6A.2,2017-18,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Non-operational,,,,,State and territory governments (unpublished),no.,208,5,7,25,3,5,4,10,267
6A.2,2017-18,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Total,,,,,Derived from State and territory governments (unpublished),no.,617,87,364,165,80,27,19,187,1546
6A.2,2017-18,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Proportion of total staff,,,,,Derived from State and territory governments (unpublished),%,3.1,0.4,2.4,1.9,1.4,1.6,2,9.8,2.1
6A.2,2017,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Aboriginal and Torres Strait Islander,,,,,,Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,'000,137.5,30.7,114.6,55.1,22.3,14.7,4.4,43.9,423.3
6A.2,2017,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Proportion of total population,Aboriginal and Torres Strait Islander,,,,,Derived from ABS Australian Demographic Statistics - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,%,2.9,0.8,3.9,3.5,2.2,5,1.7,27.5,2.9
6A.2,2016-17,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Operational,,,,,State and territory governments (unpublished),no.,378,67,347,137,58,18,11,159,1175
6A.2,2016-17,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Non-operational,,,,,State and territory governments (unpublished),no.,192,9,10,14,9,3,3,5,245
6A.2,2016-17,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Total,,,,,Derived from State and territory governments (unpublished),no.,570,76,357,151,67,21,14,164,1420
6A.2,2016-17,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Proportion of total staff,,,,,Derived from State and territory governments (unpublished),%,2.8,0.4,2.3,1.8,1.1,1.3,1.5,9.2,2
6A.2,2016,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Aboriginal and Torres Strait Islander,,,,,,Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,'000,134.4,29.8,111.6,54,21.9,14.5,4.2,43.2,413.7
6A.2,2016,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Proportion of total population,Aboriginal and Torres Strait Islander,,,,,Derived from ABS Australian Demographic Statistics - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,%,2.9,0.8,3.9,3.5,2.2,4.9,1.7,27.2,2.8
6A.2,2015-16,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Operational,,,,,State and territory governments (unpublished),no.,356,59,332,108,60,19,14,134,1082
6A.2,2015-16,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Non-operational,,,,,State and territory governments (unpublished),no.,160,10,4,12,1,4,3,2,196
6A.2,2015-16,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Total,,,,,Derived from State and territory governments (unpublished),no.,516,69,336,120,61,23,17,136,1278
6A.2,2015-16,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Proportion of total staff,,,,,Derived from State and territory governments (unpublished),%,2.6,0.4,2.3,1.4,1.1,1.5,1.8,7.5,1.8
6A.2,2015,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Aboriginal and Torres Strait Islander,,,,,,Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,'000,131.2,29,108.7,52.9,21.3,14.2,4.1,42.5,404.1
6A.2,2015,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Proportion of total population,Aboriginal and Torres Strait Islander,,,,,Derived from ABS Australian Demographic Statistics - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,%,2.9,0.8,3.8,3.4,2.1,4.8,1.6,26.7,2.8
6A.2,2014-15,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Operational,,,,,State and territory governments (unpublished),no.,344,47,321,103,64,19,13,129,1040
6A.2,2014-15,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Non-operational,,,,,State and territory governments (unpublished),no.,151,6,7,6,1,3,1,2,177
6A.2,2014-15,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Total,,,,,Derived from State and territory governments (unpublished),no.,495,53,328,109,65,22,14,131,1217
6A.2,2014-15,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Proportion of total staff,,,,,Derived from State and territory governments (unpublished),%,2.5,0.3,2.3,1.4,1.1,1.5,1.5,7.4,1.8
6A.2,2014,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Aboriginal and Torres Strait Islander,,,,,,Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,'000,127.6,28.5,105.9,51.9,20.8,13.8,3.9,41.6,394.2
6A.2,2014,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Proportion of total population,Aboriginal and Torres Strait Islander,,,,,Derived from ABS Australian Demographic Statistics - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,%,2.8,0.8,3.7,3.3,2.1,4.7,1.6,26.2,2.8
6A.2,2013-14,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Operational,,,,,State and territory governments (unpublished),no.,322,42,339,112,62,23,11,116,1027
6A.2,2013-14,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Non-operational,,,,,State and territory governments (unpublished),no.,144,3,13,8,1,1,2,2,174
6A.2,2013-14,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Total,,,,,Derived from State and territory governments (unpublished),no.,466,45,352,120,63,24,13,118,1201
6A.2,2013-14,Police staffing,All ages,All people,Aboriginal and Torres Strait Islander people,,Full-time equivalent (FTE) police staff at 30 June,,Aboriginal and Torres Strait Islander,Proportion of total staff,,,,,Derived from State and territory governments (unpublished),%,2.4,0.3,2.3,1.5,1.1,1.7,1.3,6.6,1.7
6A.2,2013,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Aboriginal and Torres Strait Islander,,,,,,Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,'000,124,27.9,103,50.8,20.3,13.5,3.8,40.6,384.1
6A.2,2013,Police staffing,20-64 years old,All people,Aboriginal and Torres Strait Islander people,,Estimated resident population at 31 December,20-64 years old,Proportion of total population,Aboriginal and Torres Strait Islander,,,,,Derived from ABS Australian Demographic Statistics - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,%,2.8,0.8,3.7,3.3,2,4.6,1.6,25.7,2.7
6A.4,2022-23,Deaths in police custody,All ages,All people,Aboriginal and Torres Strait Islander people,,Deaths in police custody,Aboriginal and Torres Strait Islander people,,,,,,,Australian Institute of Criminology (McAlister M & Bricknell S) Deaths in custody in Australia,no.,4,0,5,0,1,0,0,0,10
6A.4,2021-22,Deaths in police custody,All ages,All people,Aboriginal and Torres Strait Islander people,,Deaths in police custody,Aboriginal and Torres Strait Islander people,,,,,,,Australian Institute of Criminology (McAlister M & Bricknell S) Deaths in custody in Australia,no.,5,0,3,0,0,0,0,0,8
6A.4,2020-21,Deaths in police custody,All ages,All people,Aboriginal and Torres Strait Islander people,,Deaths in police custody,Aboriginal and Torres Strait Islander people,,,,,,,Australian Institute of Criminology (McAlister M & Bricknell S) Deaths in custody in Australia,no.,2,0,2,0,0,0,0,0,4
6A.4,2019-20,Deaths in police custody,All ages,All people,Aboriginal and Torres Strait Islander people,,Deaths in police custody,Aboriginal and Torres Strait Islander people,,,,,,,Australian Institute of Criminology (McAlister M & Bricknell S) Deaths in custody in Australia,no.,0,0,0,1,0,0,0,2,3
6A.4,2018-19,Deaths in police custody,All ages,All people,Aboriginal and Torres Strait Islander people,,Deaths in police custody,Aboriginal and Torres Strait Islander people,,,,,,,Australian Institute of Criminology (McAlister M & Bricknell S) Deaths in custody in Australia,no.,1,0,2,3,0,0,0,0,6
6A.4,2017-18,Deaths in police custody,All ages,All people,Aboriginal and Torres Strait Islander people,,Deaths in police custody,Aboriginal and Torres Strait Islander people,,,,,,,Australian Institute of Criminology (McAlister M & Bricknell S) Deaths in custody in Australia,no.,1,1,1,0,1,0,0,0,4
6A.4,2016-17,Deaths in police custody,All ages,All people,Aboriginal and Torres Strait Islander people,,Deaths in police custody,Aboriginal and Torres Strait Islander people,,,,,,,Australian Institute of Criminology (McAlister M & Bricknell S) Deaths in custody in Australia,no.,3,1,0,1,2,0,0,1,8
6A.4,2015-16,Deaths in police custody,All ages,All people,Aboriginal and Torres Strait Islander people,,Deaths in police custody,Aboriginal and Torres Strait Islander people,,,,,,,Australian Institute of Criminology (McAlister M & Bricknell S) Deaths in custody in Australia,no.,0,0,0,1,1,0,0,1,3
6A.4,2014-15,Deaths in police custody,All ages,All people,Aboriginal and Torres Strait Islander people,,Deaths in police custody,Aboriginal and Torres Strait Islander people,,,,,,,Australian Institute of Criminology (McAlister M & Bricknell S) Deaths in custody in Australia,no.,0,0,0,1,0,0,0,2,3
6A.4,2013-14,Deaths in police custody,All ages,All people,Aboriginal and Torres Strait Islander people,,Deaths in police custody,Aboriginal and Torres Strait Islander people,,,,,,,Australian Institute of Criminology (McAlister M & Bricknell S) Deaths in custody in Australia,no.,0,0,0,0,0,0,0,1,1
6A.4,2012-13,Deaths in police custody,All ages,All people,Aboriginal and Torres Strait Islander people,,Deaths in police custody,Aboriginal and Torres Strait Islander people,,,,,,,Australian Institute of Criminology (McAlister M & Bricknell S) Deaths in custody in Australia,no.,0,0,0,3,1,0,0,0,4
6A.4,2011-12,Deaths in police custody,All ages,All people,Aboriginal and Torres Strait Islander people,,Deaths in police custody,Aboriginal and Torres Strait Islander people,,,,,,,Australian Institute of Criminology (McAlister M & Bricknell S) Deaths in custody in Australia,no.,0,0,0,0,0,0,0,2,2
6A.4,2010-11,Deaths in police custody,All ages,All people,Aboriginal and Torres Strait Islander people,,Deaths in police custody,Aboriginal and Torres Strait Islander people,,,,,,,Australian Institute of Criminology (McAlister M & Bricknell S) Deaths in custody in Australia,no.,1,0,1,5,0,0,0,0,7
6A.4,2009-10,Deaths in police custody,All ages,All people,Aboriginal and Torres Strait Islander people,,Deaths in police custody,Aboriginal and Torres Strait Islander people,,,,,,,Australian Institute of Criminology (McAlister M & Bricknell S) Deaths in custody in Australia,no.,2,0,0,2,0,0,0,2,6
6A.4,2008-09,Deaths in police custody,All ages,All people,Aboriginal and Torres Strait Islander people,,Deaths in police custody,Aboriginal and Torres Strait Islander people,,,,,,,Australian Institute of Criminology (McAlister M & Bricknell S) Deaths in custody in Australia,no.,0,0,1,1,2,0,0,4,8
6A.4,2007-08,Deaths in police custody,All ages,All people,Aboriginal and Torres Strait Islander people,,Deaths in police custody,Aboriginal and Torres Strait Islander people,,,,,,,Australian Institute of Criminology (McAlister M & Bricknell S) Deaths in custody in Australia,no.,0,0,1,0,2,0,0,2,5
6A.9,2022-23,Youth diversions,All ages,All people,Aboriginal and Torres Strait Islander people,,Youth diversions as a proportion of offenders,Aboriginal and Torres Strait Islander people,,,,,,,Derived from State and territory governments (unpublished),%,33.2,34,26.4,33.8,22.5,28.1,10.1,32.1,
6A.9,2021-22,Youth diversions,All ages,All people,Aboriginal and Torres Strait Islander people,,Youth diversions as a proportion of offenders,Aboriginal and Torres Strait Islander people,,,,,,,Derived from State and territory governments (unpublished),%,31.4,22.8,26.3,37.4,19.6,24.7,17.5,33.9,
6A.9,2020-21,Youth diversions,All ages,All people,Aboriginal and Torres Strait Islander people,,Youth diversions as a proportion of offenders,Aboriginal and Torres Strait Islander people,,,,,,,Derived from State and territory governments (unpublished),%,32.1,15,26.8,45,27.2,30.2,19.8,32.2,
6A.9,2019-20,Youth diversions,All ages,All people,Aboriginal and Torres Strait Islander people,,Youth diversions as a proportion of offenders,Aboriginal and Torres Strait Islander people,,,,,,,Derived from State and territory governments (unpublished),%,30.5,15.3,26.2,39,23.3,30.3,13.4,40.8,
6A.9,2018-19,Youth diversions,All ages,All people,Aboriginal and Torres Strait Islander people,,Youth diversions as a proportion of offenders,Aboriginal and Torres Strait Islander people,,,,,,,Derived from State and territory governments (unpublished),%,29.3,12.3,22.9,40.7,27.5,32.6,15.3,41.8,
6A.9,2017-18,Youth diversions,All ages,All people,Aboriginal and Torres Strait Islander people,,Youth diversions as a proportion of offenders,Aboriginal and Torres Strait Islander people,,,,,,,Derived from State and territory governments (unpublished),%,30.4,14.8,22.7,32.6,27.6,36.3,14.2,44.4,
6A.9,2016-17,Youth diversions,All ages,All people,Aboriginal and Torres Strait Islander people,,Youth diversions as a proportion of offenders,Aboriginal and Torres Strait Islander people,,,,,,,Derived from State and territory governments (unpublished),%,30.9,13.5,22.3,31.5,27.5,34.6,12.9,37.6,
6A.9,2015-16,Youth diversions,All ages,All people,Aboriginal and Torres Strait Islander people,,Youth diversions as a proportion of offenders,Aboriginal and Torres Strait Islander people,,,,,,,Derived from State and territory governments (unpublished),%,29.3,12.3,23.7,37,26.3,45.8,32.4,32.7,
6A.9,2014-15,Youth diversions,All ages,All people,Aboriginal and Torres Strait Islander people,,Youth diversions as a proportion of offenders,Aboriginal and Torres Strait Islander people,,,,,,,Derived from State and territory governments (unpublished),%,30.6,12.6,23.5,35.6,28.8,42.1,22.5,31.2,
6A.9,2013-14,Youth diversions,All ages,All people,Aboriginal and Torres Strait Islander people,,Youth diversions as a proportion of offenders,Aboriginal and Torres Strait Islander people,,,,,,,Derived from State and territory governments (unpublished),%,30,19.6,22.7,32.9,29.6,41.8,21.6,35,
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Salaries,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,3249.5,2764.4,2081.9,1147.6,720.8,223.7,137.4,290,10615.2
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Superannuation,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,692.8,289.8,318.8,108.1,79,29.7,20.7,27.8,1566.7
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Payroll tax,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,176.2,166.2,0,65.6,37,0,0,16.3,461.3
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Total salaries and payments,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,4118.4,3220.4,2400.7,1321.3,836.9,253.3,158,334.1,12643.2
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Other recurrent expenditure,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,820.7,682.7,489.8,373.6,181,103.1,50.9,89.7,2791.5
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Depreciation,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,142.9,260.6,116.6,113.8,45.4,10.3,7,28.7,725.2
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Total recurrent expenditure,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,5082,4163.7,3007.1,1808.8,1063.3,366.6,215.9,452.5,16159.9
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Net recurrent expenditure,Revenue from own sources (ROS),,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,153.3,39,224.2,49.9,122.2,51.5,1.5,18.1,659.8
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Net recurrent expenditure,Total recurrent expenditure less ROS and payroll tax,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,4752.4,3958.5,2782.9,1693.2,904.1,315.1,214.4,418.2,15038.8
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Capital expenditure,User cost of capital,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,131.2,232.2,117.9,83,27.3,18,5.9,26.4,641.9
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Capital expenditure,Capital expenditure,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,214,159.6,146.5,95.6,24.9,27.7,16.4,37.3,722
