Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Service_Type,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
17A.5,2017-18,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Average daily number of young people,Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,121,19,151,101,28,3,4,39,465
17A.5,2017-18,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,25.6,18.8,36.9,58.3,37.5,6.5,31.4,34.3,33.1
17A.5,2016-17,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Average daily number of young people,Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,120,20,130,98,31,2,2,36,439
17A.5,2016-17,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,25.8,20.7,32.5,57.4,41.8,3.9,20,31.5,31.8
17A.5,2015-16,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Average daily number of young people,Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,133,19,132,95,29,1,2,48,458
17A.5,2015-16,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,29.1,19.6,33.7,57,40.1,2.3,14.2,42,33.8
17A.5,2014-15,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Average daily number of young people,Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,128,14,113,102,23,2,3,41,425
17A.5,2014-15,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,28.4,14.5,29.5,62.6,32.2,3.3,23.3,36.6,31.8
17A.6,2022-23,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Average daily number of young people,Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,368,35,583,284,87,21,6,151,1535
17A.6,2022-23,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,73.5,32.9,133.2,156.3,106.6,38.5,49.5,134,103.2
17A.6,2021-22,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Average daily number of young people,Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,363,48,590,237,70,21,5,92,1425
17A.6,2021-22,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,73.4,45.8,136.4,131.9,87.4,39.5,37.1,81.3,96.9
17A.6,2020-21,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Average daily number of young people,Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,390,62,593,206,63,24,6,66,1410
17A.6,2020-21,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,79.9,60.3,138.7,115.7,80.4,44.7,49.6,58.2,97
17A.6,2019-20,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Average daily number of young people,Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,427,70,690,287,82,35,10,97,1697
17A.6,2019-20,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,88.5,68,163.5,163.2,106.8,65.7,86.8,85.5,118.1
17A.6,2018-19,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Average daily number of young people,Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,433,85,788,326,75,32,13,100,1852
17A.6,2018-19,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,90.7,84,189.5,186.9,99.3,61,114,88.2,130.3
17A.6,2017-18,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Average daily number of young people,Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,435,92,714,355,87,28,20,97,1827
17A.6,2017-18,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,92.4,92.6,174.5,205.9,116.9,54.2,176.5,84.3,130.2
17A.6,2016-17,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Average daily number of young people,Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,462,103,630,357,115,20,14,109,1809
17A.6,2016-17,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,99.5,105.8,157.6,209.8,156.7,39.8,121.6,94.2,131
17A.6,2015-16,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Average daily number of young people,Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,504,113,623,361,104,23,15,95,1838
17A.6,2015-16,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,110.5,118.2,159.2,216.4,143.3,47.1,127.9,83.5,135.4
17A.6,2014-15,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Average daily number of young people,Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,441,98,710,355,98,12,20,85,1820
17A.6,2014-15,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,98.1,102.2,184.8,219.2,136.3,26.2,168.8,76.5,136.4
17A.7,2022-23,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,19.5,9.1,46,34.6,18.8,7.3,34.6,42.9,29.8
17A.7,2021-22,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,15.6,9.9,41.3,45,19.5,6.2,24.8,44.1,28.5
17A.7,2020-21,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,12.9,9.7,33.7,41.3,18.6,6.4,24,27.3,23.6
17A.7,2019-20,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,19.1,15.9,32.7,42.8,23.5,9.3,43.2,20.7,26
17A.7,2018-19,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,22.3,18.5,41.3,55.1,28.5,8.8,15.3,30.9,32.1
17A.7,2017-18,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,25.6,18.8,36.9,58.3,37.5,6.5,31.4,34.3,33.1
17A.7,2016-17,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,25.8,20.7,32.5,57.4,41.8,3.9,20,31.5,31.8
17A.7,2015-16,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,29.1,19.6,33.7,57,40.1,2.3,14.2,42,33.8
17A.7,2014-15,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,,Rate (per 10000 young people aged 10-17 years),Detention,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,28.4,14.5,29.5,62.6,32.2,3.3,23.3,36.6,31.8
17A.8,2022-23,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,73.5,32.9,133.2,156.3,106.6,38.5,49.5,134,103.2
17A.8,2021-22,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,73.4,45.8,136.4,131.9,87.4,39.5,37.1,81.3,96.9
17A.8,2020-21,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,79.9,60.3,138.7,115.7,80.4,44.7,49.6,58.2,97
17A.8,2019-20,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,88.5,68,163.5,163.2,106.8,65.7,86.8,85.5,118.1
17A.8,2018-19,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,90.7,84,189.5,186.9,99.3,61,114,88.2,130.3
17A.8,2017-18,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,92.4,92.6,174.5,205.9,116.9,54.2,176.5,84.3,130.2
17A.8,2016-17,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,99.5,105.8,157.6,209.8,156.7,39.8,121.6,94.2,131
17A.8,2015-16,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,110.5,118.2,159.2,216.4,143.3,47.1,127.9,83.5,135.4
17A.8,2014-15,Under supervision,10-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,,Rate (per 10000 young people aged 10-17 years),Community-based supervision,,,Aboriginal and Torres Strait Islander,10-17 years old,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,98.1,102.2,184.8,219.2,136.3,26.2,168.8,76.5,136.4
17A.9,2022-23,Under supervision,10-13 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,Community-based supervision,10-13 years old,Number of young people during the year,,Aboriginal and Torres Strait Islander,,,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,17,3,178,108,27,np,np,61,401
17A.9,2022-23,Under supervision,10-13 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,Community-based supervision,10-13 years old,Rate (per 10000 young people aged 10-13 years),,Aboriginal and Torres Strait Islander,,,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,6.7,5.7,81.3,118.3,65.7,np,np,102.5,53.5
17A.9,2022-23,Under supervision,14-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,Community-based supervision,14-17 years old,Number of young people during the year,,Aboriginal and Torres Strait Islander,,,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,780,91,1065,602,191,43,19,287,3078
17A.9,2022-23,Under supervision,14-17 years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,Community-based supervision,14-17 years old,Rate (per 10000 young people aged 14-17 years),,Aboriginal and Torres Strait Islander,,,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,315.6,171.5,487.3,663.5,473.3,156.7,326.2,536.8,417.8
17A.9,2022-23,Under supervision,18+ years old,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,Community-based supervision,18+ years old,Number of young people during the year,,Aboriginal and Torres Strait Islander,,,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,42,83,261,49,24,np,np,102,578
17A.9,2022-23,Under supervision,Young people,All people,Aboriginal and Torres Strait Islander people,Community-based supervision,,Community-based supervision,Young people,Number of young people during the year,,Aboriginal and Torres Strait Islander,,,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,839,177,1504,759,242,61,25,450,4057
17A.9,2022-23,Under supervision,10-13 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,Detention,10-13 years old,Number of young people during the year,,Aboriginal and Torres Strait Islander,,,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,94,2,135,116,23,np,np,np,423
17A.9,2022-23,Under supervision,10-13 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,Detention,10-13 years old,Rate (per 10000 young people aged 10-13 years),,Aboriginal and Torres Strait Islander,,,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,37.1,3.8,61.7,127.1,56,np,np,np,56.4
17A.9,2022-23,Under supervision,14-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,Detention,14-17 years old,Number of young people during the year,,Aboriginal and Torres Strait Islander,,,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,631,52,607,404,145,np,np,np,2082
17A.9,2022-23,Under supervision,14-17 years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,Detention,14-17 years old,Rate (per 10000 young people aged 14-17 years),,Aboriginal and Torres Strait Islander,,,Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians,rate,255.3,98,277.8,445.3,359.3,np,np,np,282.6
17A.9,2022-23,Under supervision,18+ years old,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,Detention,18+ years old,Number of young people during the year,,Aboriginal and Torres Strait Islander,,,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,27,10,16,6,4,0,np,0,63
17A.9,2022-23,Under supervision,Young people,All people,Aboriginal and Torres Strait Islander people,Detention-based supervision,,Detention,Young people,Number of young people during the year,,Aboriginal and Torres Strait Islander,,,AIHW (unpublished) Youth Justice National Minimum Dataset,no.,752,64,758,526,172,17,26,253,2568
17A.12,2022-23,Group conferencing agreements,Young people,All people,Aboriginal and Torres Strait Islander people,Group conferencing,,,Number of group conferences,group conferences,Resulting in an agreement,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,395,31,736,1595,277,24,6,205,3269
17A.12,2022-23,Group conferencing agreements,Young people,All people,Aboriginal and Torres Strait Islander people,Group conferencing,,,Number of group conferences,group conferences,Concluded,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,396,31,753,1718,825,26,6,205,3960
17A.12,2022-23,Group conferencing agreements,Young people,All people,Aboriginal and Torres Strait Islander people,Group conferencing,,,Proportion of group conferences,group conferences,Resulting in an agreement,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),%,99.7,100,97.7,92.8,33.6,92.3,100,100,82.6
17A.12,2021-22,Group conferencing agreements,Young people,All people,Aboriginal and Torres Strait Islander people,Group conferencing,,,Number of group conferences,group conferences,Resulting in an agreement,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,387,15,706,1332,327,30,3,100,2900
17A.12,2021-22,Group conferencing agreements,Young people,All people,Aboriginal and Torres Strait Islander people,Group conferencing,,,Number of group conferences,group conferences,Concluded,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,389,15,739,1488,438,35,3,100,3207
17A.12,2021-22,Group conferencing agreements,Young people,All people,Aboriginal and Torres Strait Islander people,Group conferencing,,,Proportion of group conferences,group conferences,Resulting in an agreement,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),%,99.5,100,95.5,89.5,74.7,85.7,100,100,90.4
17A.12,2020-21,Group conferencing agreements,Young people,All people,Aboriginal and Torres Strait Islander people,Group conferencing,,,Number of group conferences,group conferences,Resulting in an agreement,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,438,8,764,1004,383,14,6,197,2814
17A.12,2020-21,Group conferencing agreements,Young people,All people,Aboriginal and Torres Strait Islander people,Group conferencing,,,Number of group conferences,group conferences,Concluded,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,439,8,778,1134,495,14,6,197,3071
17A.12,2020-21,Group conferencing agreements,Young people,All people,Aboriginal and Torres Strait Islander people,Group conferencing,,,Proportion of group conferences,group conferences,Resulting in an agreement,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),%,99.8,100,98.2,88.5,77.4,100,100,100,91.6
17A.12,2019-20,Group conferencing agreements,Young people,All people,Aboriginal and Torres Strait Islander people,Group conferencing,,,Number of group conferences,group conferences,Resulting in an agreement,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,522,29,793,1076,299,17,4,167,2907
17A.12,2019-20,Group conferencing agreements,Young people,All people,Aboriginal and Torres Strait Islander people,Group conferencing,,,Number of group conferences,group conferences,Concluded,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,528,29,814,1218,354,17,4,167,3131
17A.12,2019-20,Group conferencing agreements,Young people,All people,Aboriginal and Torres Strait Islander people,Group conferencing,,,Proportion of group conferences,group conferences,Resulting in an agreement,,Aboriginal and Torres Strait Islander,,Derived from State and territory governments (unpublished),%,98.9,100,97.4,88.3,84.5,100,100,100,92.8
17A.12,2018-19,Group conferencing agreements,Young people,All people,Aboriginal and Torres Strait Islander people,Group conferencing,,,Number of group conferences,group conferences,Resulting in an agreement,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,412,34,656,1169,297,19,2,612,3201
17A.12,2018-19,Group conferencing agreements,Young people,All people,Aboriginal and Torres Strait Islander people,Group conferencing,,,Number of group conferences,group conferences,Concluded,,Aboriginal and Torres Strait Islander,,State and territory governments (unpublished),no.,415,34,679,1342,340,22,2,612,3446
